NR-9200 ASCII FILE : V1.00  - EXFO Inc. -

FILE HEADER SECTION ***
Creation date    : 2004-08-09
Operator         : DOM
Fiber name       : OFS_Martin
Fiber type       : MO
Comments         : Single Mode Fiber
                   
Measure done the 2004-08-09 at 13:37:58
END OF FILE HEADER SECTION ***


DATA HEADER SECTION ***
Data type        : Refractive index profile
Scan type        : X-SCAN
Meas. wavelength : 657.60
Number of points : 1633
Scan step        :      0.09801
Cladding index   : 1.456350
Data format :  Radius [um]     DeltaN
END OF DATA HEADER SECTION ***

DATA SECTION
   -80.51     0.02024
   -80.41     0.02026
   -80.32     0.02026
   -80.22     0.02025
   -80.12     0.02023
   -80.02     0.02025
   -79.92     0.02025
   -79.83     0.02025
   -79.73     0.02025
   -79.63     0.02025
   -79.53     0.02025
   -79.43     0.02025
   -79.34     0.02027
   -79.24     0.02026
   -79.14     0.02023
   -79.04     0.02026
   -78.94     0.02027
   -78.85     0.02026
   -78.75     0.02027
   -78.65     0.02028
   -78.55     0.02029
   -78.45     0.02029
   -78.36     0.02031
   -78.26     0.02031
   -78.16     0.02029
   -78.06     0.02028
   -77.96     0.02029
   -77.86     0.02029
   -77.77     0.02028
   -77.67     0.02028
   -77.57     0.02028
   -77.47     0.02028
   -77.37     0.02028
   -77.28     0.02030
   -77.18     0.02028
   -77.08     0.02028
   -76.98     0.02027
   -76.88     0.02028
   -76.79     0.02028
   -76.69     0.02029
   -76.59     0.02029
   -76.49     0.02028
   -76.39     0.02029
   -76.30     0.02031
   -76.20     0.02031
   -76.10     0.02031
   -76.00     0.02028
   -75.90     0.02029
   -75.81     0.02030
   -75.71     0.02030
   -75.61     0.02031
   -75.51     0.02031
   -75.41     0.02031
   -75.32     0.02032
   -75.22     0.02033
   -75.12     0.02033
   -75.02     0.02032
   -74.92     0.02032
   -74.83     0.02033
   -74.73     0.02033
   -74.63     0.02033
   -74.53     0.02034
   -74.43     0.02035
   -74.34     0.02034
   -74.24     0.02034
   -74.14     0.02036
   -74.04     0.02035
   -73.94     0.02035
   -73.85     0.02034
   -73.75     0.02036
   -73.65     0.02035
   -73.55     0.02036
   -73.45     0.02036
   -73.36     0.02038
   -73.26     0.02038
   -73.16     0.02039
   -73.06     0.02039
   -72.96     0.02038
   -72.87     0.02038
   -72.77     0.02039
   -72.67     0.02041
   -72.57     0.02041
   -72.47     0.02041
   -72.38     0.02041
   -72.28     0.02043
   -72.18     0.02044
   -72.08     0.02044
   -71.98     0.02042
   -71.89     0.02041
   -71.79     0.02040
   -71.69     0.02043
   -71.59     0.02043
   -71.49     0.02042
   -71.40     0.02040
   -71.30     0.02039
   -71.20     0.02040
   -71.10     0.02041
   -71.00     0.02043
   -70.91     0.02042
   -70.81     0.02040
   -70.71     0.02039
   -70.61     0.02040
   -70.51     0.02039
   -70.42     0.02039
   -70.32     0.02039
   -70.22     0.02038
   -70.12     0.02037
   -70.02     0.02035
   -69.93     0.02035
   -69.83     0.02034
   -69.73     0.02033
   -69.63     0.02034
   -69.53     0.02033
   -69.44     0.02033
   -69.34     0.02037
   -69.24     0.02040
   -69.14     0.02039
   -69.04     0.02039
   -68.95     0.02040
   -68.85     0.02045
   -68.75     0.02048
   -68.65     0.02046
   -68.55     0.02047
   -68.46     0.02049
   -68.36     0.02046
   -68.26     0.02046
   -68.16     0.02047
   -68.06     0.02048
   -67.97     0.02050
   -67.87     0.02053
   -67.77     0.02054
   -67.67     0.02056
   -67.57     0.02055
   -67.48     0.02054
   -67.38     0.02061
   -67.28     0.02067
   -67.18     0.02067
   -67.08     0.02064
   -66.99     0.02063
   -66.89     0.02067
   -66.79     0.02072
   -66.69     0.02069
   -66.59     0.02063
   -66.50     0.02060
   -66.40     0.02059
   -66.30     0.02060
   -66.20     0.02060
   -66.10     0.02055
   -66.01     0.02049
   -65.91     0.02041
   -65.81     0.02033
   -65.71     0.02025
   -65.61     0.02021
   -65.52     0.02019
